entity_id,entity_type,department,timestamp,source_ip,geo_location,country,resource_accessed,auth_method,session_duration,command_sequence,device_os,browser,mac_prefix,failed_attempts_10m,geo_distance_km,is_new_device,is_new_country,is_night_hour,unique_resource_count_24h,label
user_015,user,sales,2026-07-04T16:57:22Z,144.229.28.185,Kolkata,India,Email,certificate,107.03751270705484,"['login', 'read', 'logout']",Linux,Firefox,d4:fa:80,0,0.0,0,0,0,1,normal
user_042,user,finance,2026-07-14T08:44:03Z,125.241.76.34,Mumbai,India,Reports,token,28.636438782944726,"['login', 'read', 'logout']",Ubuntu,Chrome,d6:0e:c7,1,0.0,0,0,0,2,normal
user_052,user,sales,2026-06-30T08:33:28Z,27.151.11.93,Delhi,India,Email,password,114.82150406216918,"['login', 'read', 'logout']",Linux,Firefox,9c:eb:4e,0,0.0,0,0,0,2,normal
user_031,user,engineering,2026-07-04T07:47:37Z,213.110.28.164,Bengaluru,India,Git,biometric,8.446468769128156,"['login', 'read', 'logout']",Windows,Chrome,ac:2b:91,1,0.0,0,0,0,3,normal
user_005,user,engineering,2026-06-27T10:19:28Z,167.71.182.219,Mumbai,India,Jenkins,certificate,112.38338030498718,"['login', 'read', 'logout']",Windows,Chrome,4a:92:d8,0,0.0,0,0,0,1,normal
user_066,service_account,finance,2026-07-06T07:59:44Z,3.170.41.133,Pune,India,Email,token,74.07480130416967,"['auth', 'fetch']",MacOS,Safari,dc:73:c2,0,0.0,0,0,0,1,normal
user_005,user,engineering,2026-07-17T08:36:46Z,167.71.182.219,Mumbai,India,Git,certificate,94.38227401134696,"['login', 'read', 'logout']",Windows,Chrome,4a:92:d8,0,0.0,0,0,0,2,normal
user_041,user,engineering,2026-07-07T09:14:25Z,86.131.55.95,Delhi,India,Git,certificate,35.93778305377833,"['login', 'read', 'logout']",MacOS,Safari,38:98:c7,0,0.0,0,0,0,2,normal
user_064,user,engineering,2026-07-21T10:21:41Z,35.73.193.150,Chennai,India,Git,certificate,75.27389511342244,"['login', 'read', 'logout']",MacOS,Safari,7c:81:f4,0,0.0,0,0,0,1,normal
user_065,user,hr,2026-07-09T08:49:37Z,67.110.84.192,Kolkata,India,Payroll,token,47.74714829850913,"['login', 'read', 'logout']",Ubuntu,Chrome,1e:4d:4c,0,0.0,0,0,0,1,normal
user_096,user,hr,2026-07-01T09:33:35Z,93.198.181.149,Mumbai,India,HR Portal,certificate,54.2874538319284,"['login', 'read', 'logout']",Windows,Edge,fc:93:50,0,0.0,0,0,0,2,normal
user_086,user,sales,2026-07-11T09:04:41Z,188.18.26.210,Ahmedabad,India,Email,password,59.87158355499569,"['login', 'read', 'logout']",MacOS,Safari,3a:e9:a4,0,0.0,0,0,0,3,normal
user_065,user,hr,2026-07-19T10:15:23Z,67.110.84.192,Kolkata,India,Email,token,117.64448183598351,"['login', 'read', 'logout']",Ubuntu,Chrome,1e:4d:4c,0,0.0,0,0,0,1,normal
user_042,user,finance,2026-07-21T08:47:59Z,125.241.76.34,Mumbai,India,Reports,token,54.37199124326691,"['login', 'read', 'logout']",Ubuntu,Chrome,d6:0e:c7,0,0.0,0,0,0,2,normal
user_015,user,sales,2026-07-12T11:27:46Z,144.229.28.185,Kolkata,India,Dashboard,certificate,87.42637179428145,"['login', 'read', 'logout']",Linux,Firefox,d4:fa:80,0,0.0,0,0,0,3,normal
user_058,user,finance,2026-07-21T13:08:01Z,115.228.147.244,Mumbai,India,Payroll,biometric,85.15468441014019,"['login', 'read', 'logout']",MacOS,Safari,be:9c:bc,0,0.0,0,0,0,3,normal
user_036,user,finance,2026-07-08T08:32:16Z,166.211.238.29,Hyderabad,India,VPN,certificate,0.6370057490287151,"['login', 'fail', 'fail', 'fail']",Windows,Chrome,c0:e4:51,28,0.0,0,0,0,2,brute_force
user_033,user,it,2026-07-17T11:24:05Z,168.37.73.189,Bengaluru,India,Server Console,certificate,10.542683398253166,"['login', 'read', 'logout']",Linux,Firefox,66:e9:d4,1,0.0,0,0,0,3,normal
